brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
OLYMPIKUS,Tênis Olympikus Original Academia Corrida Esportes Oferta,333,33,119,99,,
OLYMPIKUS,Tênis Olympikus Original Adultos Lançamento Barato Promoção,333,33,99,99,,
FILA,Tenis Fila Racer Nairobi Knit Esportivo Masculino Original,379,95,334,35,4.9,(35)
FILA,Tênis Fila Racer Nairobi Preto Cinza E Verde - Masculino,379,99,284,99,4.8,(289)
OLYMPIKUS,Tênis Olympikus Estilo 2 Masculino Corrida,259,99,207,99,4.6,(88)
ASICS,Tênis Asics Gel Cumulus 26,989,90,742,42,,
POLO JOY,Polo Joy 900 Masculino Adultos,78,99,7,68,4.7,(55)
OLYMPIKUS,Tênis Masculino Olympikus Challenger 5 Caminhada Treino,335,90,256,41,5.0,(8)
OLYMPIKUS,Tênis Olympikus Academia Treino Macio Leve Novo 34 A 43 Full,333,33,99,99,,
PROSPECT,Kit 3 Tênis Masculino Prospect Fly Caminhada Academia Leve,209,90,134,33,4.5,(56)
,Tênis Masculino Academia Rixxon Leve Promoção Barato ,87,90,57,,4.5,(715)
NEW BALANCE,Tênis New Balance 520 V8 Corrida - Masculino,339,99,286,60,4.6,(74)
,Tênis Olympus Masculino Feminino Academia Caminhada Levinho,99,42,79,53,4.5,(83)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,78,90,74,95,4.2,(184)
,Tenis Sport Titanium 277  Original - Esportivo,78,90,59,17,4.4,(2016)
OLYMPIKUS,Tênis Olympikus Challenger 5 Preto/cinza Masculino Corrida,299,99,269,99,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Branco E Cinza - Masculino,299,99,245,99,4.8,(70)
DUBBELE,Tenis Masculino Academia Corrida Wave Force Promoção Barato,73,98,70,28,4.2,(597)
VILI,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,109,90,10,68,4.5,(2679)
NEW BALANCE,Tênis New Balance 520 V8 Corrida - Masculino,339,99,286,60,4.6,(74)
,Tênis Masculino Esportivo Super Leve Envio Imediato,77,90,25,97,4.6,(87)
,Tenis Corrida Masculino Academia Caminhada Conforto +relógio,34,90,11,63,,
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,99,75,04,4.2,(152)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,63,90,6,21,4.4,(347)
,Tênis Masculino Esportivo Casual Vermelho Fitness Passeio,110,15,10,71,,
OLYMPIKUS,Tenis Olympikus Volcan Ultra Leve Para Training,219,10,197,85,,
PUMA,Tênis Flyer Runner Mesh Bdp Puma,329,90,199,90,4.8,(1711)
OLYMPIKUS,Olympikus Only 2 Masculino Adultos,199,99,140,59,4.7,(3608)
MIZUNO,Mizuno Victory RSP Masculino Adultos,452,90,339,67,5.0,(26)
,Tênis Academia Caminhada Corrida Confortável Leve Pra Malhar,79,90,62,32,4.5,(260)
OLYMPIKUS,Tênis Olympikus Conex Esportivo Masculino Original,210,,30,,,
,Tênis Masculino Leve Macio Advanced Running Fit Academia ,124,90,78,68,4.4,(65)
